osm_id,name,category,risk_tier,risk_label
829181561,Lagos-Badagry Expressway,road,4.0,Very High
829181564,Lagos-Badagry Expressway,road,4.0,Very High
829181565,Unnamed,road,2.0,Moderate
829181566,Lagos-Badagry Expressway,road,3.0,High
829181567,Unnamed,road,4.0,Very High
829181569,Unnamed,road,4.0,Very High
829181571,Lagos-Badagry Expressway,road,4.0,Very High
829243080,Lagos-Badagry Expressway,road,4.0,Very High
829243081,Lagos-Badagry Expressway,road,4.0,Very High
829243083,Lagos-Badagry Expressway,road,3.0,High
829243085,Lagos-Badagry Expressway,road,4.0,Very High
833815004,Lagos-Badagry Expressway,road,4.0,Very High
833815005,Lagos-Badagry Expressway,road,4.0,Very High
833816489,Unnamed,road,1.0,Low
835704498,Unnamed,road,4.0,Very High
893293869,Lagos-Badagry Expressway,road,4.0,Very High
893293870,Lagos-Badagry Expressway,road,4.0,Very High
893293871,Lagos-Badagry Expressway,road,0.0,NoData
893293885,Lagos-Badagry Expressway,road,2.0,Moderate
893293886,Lagos-Badagry Expressway,road,3.0,High
893293887,Unnamed,road,4.0,Very High
893293888,Unnamed,road,2.0,Moderate
893293889,Unnamed,road,4.0,Very High
893293890,Unnamed,road,4.0,Very High
893293892,Lagos-Badagry Expressway,road,4.0,Very High
893293898,Lagos-Badagry Expressway,road,4.0,Very High
893293900,Lagos-Badagry Expressway,road,4.0,Very High
893293902,Lagos-Badagry Expressway,road,4.0,Very High
1043797274,7th Avenue,road,4.0,Very High
1043797283,2nd Avenue,road,3.0,High
1043797284,2nd Avenue,road,3.0,High
1061807533,Unnamed,road,4.0,Very High
1061807534,Unnamed,road,4.0,Very High
1061807535,Unnamed,road,4.0,Very High
1218922114,Unnamed,road,4.0,Very High
1218922115,Unnamed,road,4.0,Very High
1218922116,Unnamed,road,3.0,High
1268568500,Unnamed,road,2.0,Moderate
1268612702,Unnamed,road,4.0,Very High
1268612703,Unnamed,road,4.0,Very High
1268612704,Unnamed,road,2.0,Moderate
1268612705,Unnamed,road,2.0,Moderate
1318465960,Unnamed,road,4.0,Very High
1318465961,Unnamed,road,4.0,Very High
1340345470,4th Avenue,road,4.0,Very High
1353975509,Unnamed,road,4.0,Very High
1364948395,Unnamed,road,4.0,Very High
1364948396,Unnamed,road,2.0,Moderate
1364948397,Unnamed,road,4.0,Very High
1369158145,Unnamed,road,0.0,NoData
1413221048,Unnamed,road,3.0,High
1432503700,Unnamed,road,0.0,NoData
1432503701,Unnamed,road,2.0,Moderate
1433254508,4th Avenue,road,4.0,Very High
1486767410,Unnamed,road,3.0,High
1486767411,Unnamed,road,4.0,Very High
1489661251,Unnamed,road,3.0,High
1511789391,Unnamed,road,3.0,High
